id,name,now_cost,position,team,news,corners_and_indirect_freekicks_order,yellow_cards,ict_index_rank_type,red_cards,expected_assists,influence_rank,now_cost_rank,selected_rank,form_rank_type,creativity_rank,expected_goals_per_90,expected_assists_per_90,threat_rank,bps,ict_index,now_cost_rank_type,web_name,influence_rank_type,saves,clean_sheets_per_90,influence,creativity,goals_conceded_per_90,ep_next,saves_per_90,direct_freekicks_order,minutes,selected_rank_type,expected_goals_conceded,news_added,value_season,expected_goals,bonus,chance_of_playing_next_round,own_goals,threat,goals_scored,expected_goals_conceded_per_90,total_points,goals_conceded,expected_goal_involvements,points_per_game_rank,assists,threat_rank_type,starts,points_per_game_rank_type,status,clean_sheets,expected_goal_involvements_per_90,penalties_missed,penalties_saved,selected_by_percent,starts_per_90,points_per_game,creativity_rank_type,ict_index_rank,penalties_order,form_rank
11,Marcus Oliveira Alencar,45,MID,Arsenal,,,0,216,0,0.00,546,495,399,51,371,0.0,0.0,540,3,0.0,247,Marquinhos,215,0,0.0,0.0,0.2,0.0,1.5,0.0,,1,131,0.00,,0.2,0.00,0,,0,0.0,0,0.0,1,0,0.00,377,0,216,0,172,a,0,0.0,0,0,0.2,0.0,1.0,185,548,,301
12,Gabriel Martinelli Silva,80,MID,Arsenal,,4.0,3,5,0,6.98,18,16,30,266,17,0.3,0.23,7,648,298.1,9,Martinelli,8,0,0.45,844.2,838.1,1.06,3.2,0.0,3.0,2789,9,36.16,,24.8,9.15,18,,0,1300.0,15,1.17,198,33,16.13,10,9,3,34,5,a,14,0.53,0,0,14.3,1.1,5.5,14,7,3.0,632
13,Eddie Nketiah,55,FWD,Arsenal,,,3,19,0,1.26,242,121,113,47,199,0.66,0.11,41,161,93.8,33,Nketiah,23,0,0.17,213.4,128.5,1.34,2.3,0.0,,1071,21,14.65,,11.5,7.89,5,,0,607.0,4,1.23,63,16,9.15,245,2,13,9,30,a,2,0.77,0,0,2.6,0.76,2.1,23,127,,534
14,Martin Ødegaard,85,MID,Arsenal,,3.0,4,4,0,8.02,10,8,15,268,6,0.28,0.23,19,813,304.9,6,Ødegaard,4,0,0.37,971.8,1140.3,1.09,3.4,0.0,1.0,3132,6,37.94,,24.9,9.75,30,,0,934.0,15,1.09,212,38,17.77,6,8,10,37,3,a,13,0.51,0,0,23.1,1.06,5.7,4,6,,634
15,Thomas Partey,50,MID,Arsenal,,,5,62,0,2.17,93,209,258,119,63,0.09,0.08,126,468,121.5,135,Thomas,42,0,0.4,526.6,444.1,1.02,2.1,0.0,,2480,82,32.27,,17.2,2.59,6,,0,242.0,3,1.17,86,28,4.76,188,0,81,28,74,a,11,0.17,0,0,0.4,1.02,2.6,54,88,,400
16,Nicolas Pépé,50,MID,Arsenal,,,0,254,0,0.00,597,227,474,133,596,0.0,0.0,594,0,0.0,149,Pepe,254,0,0.0,0.0,0.0,0.0,2.1,0.0,,0,161,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,598,0,254,0,254,a,0,0.0,0,0,0.1,0.0,0.0,254,598,,418
17,Aaron Ramsdale,50,GKP,Arsenal,,,1,8,0,0.02,28,253,19,70,608,0.0,0.0,606,664,76.5,11,Ramsdale,8,94,0.37,764.8,0.0,1.13,3.7,2.47,,3420,3,42.31,,28.6,0.00,9,,0,0.0,0,1.11,143,43,0.02,66,0,70,38,13,a,14,0.0,0,0,19.2,1.0,3.8,73,165,,444
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,,,0,40,0,0.00,408,562,378,18,397,0.0,0.0,379,0,0.0,47,Rúnarsson,40,0,0.0,0.0,0.0,0.0,1.5,0.0,,0,57,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,417,0,19,0,40,a,0,0.0,0,0,0.2,0.0,0.0,28,411,,29
19,Bukayo Saka,85,MID,Arsenal,,1.0,6,3,0,5.97,7,9,2,269,8,0.32,0.17,9,678,333.4,7,Saka,2,0,0.34,1014.2,1106.1,1.19,3.4,0.0,,3183,1,39.66,,23.8,11.49,19,,0,1214.0,14,1.12,202,42,17.46,11,12,4,37,6,a,12,0.49,1,0,58.6,1.05,5.3,6,5,1.0,635
20,William Saliba,50,DEF,Arsenal,,,4,47,0,0.32,91,286,21,202,236,0.03,0.01,210,571,74.5,34,Saliba,30,0,0.45,529.0,100.8,0.93,2.8,0.0,,2415,8,26.86,,23.4,0.91,14,,1,114.0,2,1.0,117,25,1.23,27,1,60,27,2,a,12,0.04,0,0,17.3,1.01,4.3,76,170,,477
21,Albert Sambi Lokonga,50,MID,Arsenal,,,2,146,0,0.18,301,274,592,160,280,0.02,0.02,321,129,17.6,176,Sambi,134,0,0.25,98.4,57.2,0.99,2.1,0.0,,728,238,8.12,,4.6,0.17,0,,0,20.0,0,1.0,23,8,0.35,324,0,160,8,142,a,2,0.04,0,0,0.0,0.99,1.5,147,319,,465
22,Emile Smith Rowe,55,MID,Arsenal,,,0,148,0,0.55,339,123,347,208,263,0.14,0.31,296,60,16.7,77,Smith Rowe,150,0,0.0,53.8,74.4,2.8,2.6,0.0,,161,109,2.71,,3.3,0.25,0,,0,41.0,0,1.51,18,5,0.80,325,2,149,0,143,a,0,0.45,0,0,0.2,0.0,1.5,139,321,,536
23,Nuno Varela Tavares,40,DEF,Arsenal,,,0,164,0,0.00,445,612,290,41,437,0.0,0.0,422,0,0.0,191,Tavares,164,0,0.0,0.0,0.0,0.0,1.5,0.0,,0,107,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,454,0,161,0,165,a,0,0.0,0,0,0.3,0.0,0.0,163,448,,79
24,Kieran Tierney,45,DEF,Arsenal,,,0,105,0,0.43,276,388,263,119,252,0.04,0.05,261,164,30.0,90,Tierney,111,0,0.12,144.6,86.1,1.16,2.5,0.0,,774,93,10.90,,8.2,0.38,0,,0,67.0,0,1.27,37,10,0.81,328,1,90,6,120,a,1,0.09,0,0,0.4,0.7,1.4,85,290,,194
25,Takehiro Tomiyasu,45,DEF,Arsenal,,,2,106,0,0.23,283,427,337,147,251,0.03,0.03,271,173,27.7,118,Tomiyasu,112,0,0.28,137.0,86.6,1.52,2.5,0.0,,651,127,8.93,,7.1,0.24,0,,0,55.0,0,1.23,32,11,0.47,317,1,98,6,118,a,2,0.06,0,0,0.2,0.83,1.5,84,297,,233
26,Leandro Trossard,70,MID,Arsenal,,2.0,1,15,0,6.02,52,30,64,251,28,0.26,0.24,23,494,225.2,17,Trossard,23,0,0.32,666.0,711.4,1.53,3.0,0.0,,2237,19,30.79,,22.0,6.37,8,,0,875.0,8,1.24,154,38,12.39,31,13,14,26,14,a,8,0.5,0,0,6.2,1.05,4.3,22,22,,605
29,Benjamin White,55,DEF,Arsenal,,,5,8,0,3.60,57,113,39,208,56,0.04,0.11,170,734,130.8,10,White,16,0,0.44,655.4,492.5,1.03,3.1,0.0,,3054,14,37.23,,28.4,1.25,12,,0,159.0,2,1.1,156,35,4.85,42,5,31,36,5,a,15,0.15,0,0,10.1,1.06,4.1,8,75,,526
30,Granit Xhaka,60,MID,Arsenal,Transferred to Bayer Leverkusen,,4,24,0,3.89,40,60,549,226,33,0.14,0.12,48,634,194.8,36,Xhaka,17,0,0.39,715.0,675.5,1.05,0.0,0.0,2.0,2992,210,36.52,2023-07-11T08:41:07.159936Z,25.5,4.65,15,0.0,0,556.0,7,1.1,153,35,8.54,44,8,33,36,21,u,13,0.26,0,0,0.0,1.08,4.1,27,33,,565
31,Oleksandr Zinchenko,50,DEF,Arsenal,,,3,25,0,2.39,145,235,51,194,83,0.06,0.1,154,500,98.3,26,Zinchenko,53,0,0.42,405.0,387.7,1.19,2.8,0.0,,2122,17,26.67,,19.8,1.32,8,,0,190.0,1,1.13,99,28,3.71,75,2,24,26,19,a,10,0.16,0,0,7.5,1.1,3.7,14,121,,426
540,Declan Rice,55,MID,Arsenal,,,5,43,0,1.85,25,119,60,205,47,0.07,0.05,136,622,155.5,74,Rice,11,0,0.25,789.0,539.3,1.38,2.6,0.0,,3272,17,48.28,,21.1,2.40,12,,0,226.0,4,1.33,116,50,4.25,129,3,88,36,54,a,9,0.12,1,0,6.4,0.99,3.1,39,58,,532
578,Reiss Nelson,50,MID,Arsenal,Foot injury - 75% chance of playing,,0,114,0,0.99,257,229,583,135,206,0.49,0.44,160,127,48.0,151,Nelson,113,0,0.45,179.8,121.9,1.34,1.6,0.0,,202,233,2.16,2023-08-07T15:30:06.067296Z,8.4,1.09,5,75.0,0,178.0,3,0.96,42,3,2.08,65,3,103,0,29,d,1,0.93,0,0,0.0,0.0,3.8,124,237,,420
585,Jurriën Timber,50,DEF,Arsenal,,,0,213,0,0.00,615,281,67,201,615,0.0,0.0,612,0,0.0,33,J.Timber,213,0,0.0,0.0,0.0,0.0,2.8,0.0,,0,23,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,615,0,213,0,213,a,0,0.0,0,0,5.7,0.0,0.0,213,615,,472
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,Hamstring injury - Expected back 03 Sep,,3,53,0,2.57,217,183,506,187,100,0.04,0.17,178,278,72.3,19,Alex Moreno,80,0,0.48,254.4,321.1,0.68,0.0,0.0,,1325,193,17.83,2023-07-05T16:30:03.686424Z,14.4,0.59,5,0.0,0,151.0,0,1.21,72,10,3.16,64,3,34,14,13,i,7,0.21,0,0,0.1,0.95,3.8,18,181,,374
33,Cameron Archer,45,FWD,Aston Villa,,,0,42,0,0.01,384,467,57,12,350,0.0,0.02,338,13,0.9,72,Archer,41,0,0.0,1.8,2.4,2.09,0.5,0.0,,43,11,0.37,,1.3,0.00,0,,0,6.0,0,0.77,6,1,0.01,373,0,43,0,40,a,0,0.02,0,0,6.7,0.0,1.0,41,381,,273
34,Leon Bailey,55,MID,Aston Villa,,4.0,4,56,0,4.77,176,124,200,209,62,0.24,0.22,51,242,132.8,78,Bailey,78,0,0.37,339.6,452.8,1.47,1.6,0.0,3.0,1964,64,35.15,,18.2,5.34,6,,0,540.0,4,1.61,100,32,10.11,142,5,35,26,58,a,8,0.46,0,0,0.7,1.19,3.0,53,74,,537
35,Emiliano Buendía Stati,60,MID,Aston Villa,Knee injury - Expected back 10 Feb,,0,39,0,3.95,122,70,217,232,43,0.24,0.15,43,370,158.5,42,Buendia,56,0,0.41,441.6,559.9,1.27,0.0,0.0,,2404,69,36.65,2023-08-10T11:00:05.686871Z,19.5,6.32,8,0.0,0,582.0,5,1.37,117,34,10.27,130,3,30,27,55,i,11,0.39,0,0,0.6,1.01,3.1,36,54,,575
36,Matty Cash,45,DEF,Aston Villa,,,4,75,0,0.95,190,394,52,125,166,0.01,0.05,262,311,54.9,96,Cash,67,0,0.2,303.0,178.3,1.44,1.5,0.0,,1817,18,27.14,,12.7,0.20,3,,0,67.0,0,1.34,57,29,1.15,221,2,91,20,83,a,4,0.06,0,0,7.4,0.99,2.2,42,219,,200
37,Calum Chambers,40,DEF,Aston Villa,,,2,124,0,0.19,319,552,142,6,308,0.04,0.05,334,67,11.1,156,Chambers,122,0,0.0,74.4,29.8,1.04,0.5,0.0,,345,48,5.88,,3.2,0.14,0,,0,8.0,0,1.53,13,4,0.33,393,0,128,2,137,a,0,0.09,0,0,1.4,0.52,0.9,116,338,,19
38,Philippe Coutinho Correia,60,MID,Aston Villa,,5.0,3,112,0,0.65,291,61,228,227,182,0.16,0.08,140,98,48.8,37,Coutinho,127,0,0.35,119.2,152.5,1.04,1.7,0.0,4.0,777,72,8.11,,5.3,1.37,1,,0,218.0,1,0.94,32,9,2.02,312,0,92,7,136,a,3,0.24,0,0,0.5,0.81,1.6,114,235,2.0,566
39,Keinan Davis,50,FWD,Aston Villa,,,0,64,0,0.00,606,249,326,29,605,0.0,0.0,603,0,0.0,49,Davis,63,0,0.0,0.0,0.0,0.0,0.9,0.0,,0,54,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,607,0,64,0,64,a,0,0.0,0,0,0.2,0.0,0.0,63,607,,440
40,Leander Dendoncker,50,MID,Aston Villa,Muscle injury - Unknown return date,,0,134,0,0.14,278,199,524,110,240,0.07,0.01,263,163,30.6,126,Dendoncker,120,0,0.4,143.4,96.1,1.4,0.0,0.0,,897,191,14.68,2023-08-10T15:00:04.947940Z,7.4,0.72,0,0.0,0,64.0,0,1.47,37,14,0.86,321,0,136,9,139,i,4,0.08,0,0,0.1,0.9,1.5,134,287,,390
41,Diego Carlos Santos Silva,45,DEF,Aston Villa,,,0,128,0,0.11,357,368,240,106,335,0.16,0.05,302,20,7.0,77,Diego Carlos,131,0,0.0,24.8,13.2,1.32,1.5,0.0,,205,82,1.92,,0.9,0.36,0,,0,32.0,0,0.84,4,3,0.47,342,0,112,2,124,a,0,0.21,0,0,0.5,0.88,1.3,124,354,,174
42,Lucas Digne,45,DEF,Aston Villa,,3.0,5,57,0,1.90,207,337,161,86,106,0.03,0.11,226,234,68.1,57,Digne,77,0,0.18,277.6,305.5,1.51,1.5,0.0,2.0,1492,54,25.91,,11.1,0.43,4,,1,97.0,1,1.56,50,25,2.33,280,0,69,18,105,a,3,0.14,0,0,1.2,1.09,1.8,20,189,,143
43,Douglas Luiz Soares de Paulo,55,MID,Aston Villa,,1.0,6,37,1,2.92,44,128,96,212,34,0.09,0.09,122,594,162.7,81,Douglas Luiz,19,0,0.4,698.4,668.6,1.08,1.6,0.0,1.0,2922,33,42.80,,25.8,2.79,17,,0,261.0,6,1.32,142,35,5.71,68,7,78,33,30,a,13,0.18,0,0,3.2,1.02,3.8,28,50,,541
44,Jhon Durán,50,FWD,Aston Villa,Muscle injury - Expected back 03 Sep,,1,40,0,0.02,367,288,465,38,334,0.42,0.01,281,15,7.4,58,Duran,40,0,0.0,12.8,13.4,2.86,0.0,0.0,,126,69,3.88,2023-08-10T15:00:04.972558Z,2.2,0.59,0,0.0,0,51.0,0,2.77,11,4,0.61,395,0,38,0,43,i,0,0.43,0,0,0.1,0.0,0.9,40,352,,479
45,Kortney Hause,40,DEF,Aston Villa,,,0,146,0,0.00,411,566,335,14,400,0.0,0.0,383,0,0.0,164,Hause,146,0,0.0,0.0,0.0,0.0,0.5,0.0,,0,125,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,420,0,141,0,147,a,0,0.0,0,0,0.2,0.0,0.0,145,414,,33
46,Tim Iroegbunam,45,MID,Aston Villa,Muscle injury - Unknown return date,,0,221,0,0.00,554,507,482,59,552,0.0,0.0,548,0,0.0,255,Iroegbunam,220,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,167,0.00,2023-08-10T15:00:04.998490Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,558,0,221,0,223,i,0,0.0,0,0,0.1,0.0,0.0,221,556,,313
47,Boubacar Kamara,50,MID,Aston Villa,,,4,117,0,0.92,198,256,469,149,202,0.01,0.05,292,235,45.7,165,Kamara,89,0,0.15,288.2,124.7,1.52,1.1,0.0,,1773,159,33.05,,8.8,0.15,0,,0,43.0,0,1.68,44,30,1.07,287,1,147,21,122,a,3,0.06,0,0,0.1,1.07,1.8,122,244,,447
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,,,6,45,0,0.71,82,395,146,126,214,0.03,0.02,254,633,75.7,97,Konsa,25,0,0.33,568.4,116.2,1.22,1.5,0.0,,3322,51,50.67,,24.4,1.08,6,,0,72.0,0,1.37,110,45,1.79,151,0,86,37,52,a,12,0.05,0,0,1.3,1.0,2.9,63,167,,201
49,Emiliano Martínez Romero,50,GKP,Aston Villa,,,7,6,0,0.21,21,180,47,64,318,0.0,0.01,577,678,85.7,5,Martinez,6,98,0.32,835.2,23.0,1.09,2.7,2.81,,3139,8,43.46,,27.0,0.00,15,,1,0.0,0,1.25,135,38,0.21,63,0,65,36,12,a,11,0.01,0,1,8.1,1.03,3.8,2,141,,371
50,John McGinn,55,MID,Aston Villa,,2.0,7,69,0,3.33,157,95,234,187,92,0.08,0.11,93,354,108.3,56,McGinn,70,0,0.33,382.0,353.6,1.04,1.6,0.0,,2692,74,37.73,,16.4,2.40,3,,0,347.0,1,1.26,90,31,5.73,191,5,63,30,76,a,10,0.19,0,0,0.5,1.0,2.6,69,104,,508
51,Tyrone Mings,45,DEF,Aston Villa,,,7,32,0,0.95,53,357,27,100,249,0.03,0.03,201,617,87.8,71,Mings,13,0,0.34,664.4,88.2,1.14,1.5,0.0,,3150,10,47.28,,28.9,0.96,17,,1,121.0,1,1.35,130,40,1.91,71,3,54,35,15,a,12,0.06,0,0,14.8,1.0,3.7,82,138,,163
53,Robin Olsen,40,GKP,Aston Villa,,,0,22,0,0.00,314,560,183,16,395,0.0,0.0,377,62,8.2,45,Olsen,22,11,0.32,83.2,0.0,2.57,0.5,3.54,,280,25,8.56,,2.5,0.00,1,,0,0.0,0,2.75,10,8,0.00,194,0,17,2,24,a,1,0.0,0,0,0.9,0.64,2.5,26,346,,27
54,Jaden Philogene-Bidace,45,MID,Aston Villa,,,0,218,0,0.00,548,497,423,53,546,0.0,0.0,542,0,0.0,249,Philogene,217,0,0.0,0.0,0.0,0.0,0.5,0.0,,0,142,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,552,0,218,0,220,a,0,0.0,0,0,0.1,0.0,0.0,218,550,,303
55,Jacob Ramsey,60,MID,Aston Villa,Foot injury - Expected back 16 Sep,,5,35,0,2.89,58,76,321,236,48,0.17,0.1,63,470,164.7,46,J.Ramsey,24,0,0.38,653.4,537.8,1.13,0.0,0.0,,2634,98,40.50,2023-07-25T12:00:03.978550Z,22.5,5.07,13,0.0,1,456.0,6,1.38,135,33,7.96,60,8,45,31,27,i,11,0.27,0,0,0.2,1.06,3.9,40,47,,581
56,Morgan Sanson,45,MID,Aston Villa,Joined OGC Nice on a season-long loan,,0,179,0,0.00,380,355,601,6,363,0.0,0.0,471,6,0.4,202,Sanson,176,0,0.0,4.2,0.5,9.0,0.0,0.0,,10,245,0.40,2023-07-26T11:26:30.137805Z,0.4,0.00,0,0.0,0,0.0,0,3.6,2,1,0.00,366,0,184,0,163,u,0,0.0,0,0,0.0,0.0,1.0,179,388,,161
57,Viljami Sinisalo,40,GKP,Aston Villa,Joined Exeter City on a season-long loan,,0,57,0,0.00,442,607,613,38,434,0.0,0.0,419,0,0.0,67,Sinisalo,57,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,71,0.00,2023-07-20T08:38:58.947431Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,451,0,39,0,57,u,0,0.0,0,0,0.0,0.0,0.0,48,445,,74
58,Youri Tielemans,60,MID,Aston Villa,,,4,61,0,2.99,88,65,150,228,57,0.1,0.11,153,461,122.1,38,Tielemans,40,0,0.23,541.8,486.9,1.88,1.7,0.0,,2341,51,45.82,,14.3,2.50,6,,0,191.0,3,1.76,86,49,5.49,173,3,99,27,70,a,6,0.21,1,0,1.3,1.04,2.8,48,87,,570
59,Bertrand Traoré,50,MID,Aston Villa,Muscle injury - Unknown return date,,1,145,0,0.12,315,187,521,104,306,0.3,0.05,245,57,19.0,120,Bertrand Traoré,141,0,0.4,82.0,30.7,0.4,0.0,0.0,,226,188,1.65,2023-08-10T15:00:05.039703Z,4.0,0.75,1,0.0,0,79.0,2,0.66,20,1,0.87,200,0,127,1,78,i,1,0.35,0,0,0.1,0.4,2.5,155,316,,378
60,Ollie Watkins,80,FWD,Aston Villa,,,4,4,0,2.66,20,13,14,78,71,0.46,0.08,6,550,256.7,5,Watkins,4,0,0.37,837.6,420.3,1.15,2.1,0.0,,3129,2,46.65,,21.9,16.15,25,,0,1308.0,15,1.34,175,40,18.81,16,8,4,36,6,a,13,0.54,1,0,25.1,1.04,4.7,4,15,1.0,629
61,Wesley Moraes Ferreira da Silva,50,FWD,Aston Villa,Permanent transfer to Stoke,,0,62,0,0.00,602,241,588,27,601,0.0,0.0,599,0,0.0,47,Wesley,61,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,78,0.00,2023-07-31T07:08:09.572672Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,603,0,62,0,62,u,0,0.0,0,0,0.0,0.0,0.0,61,603,,432
584,Pau Torres,45,DEF,Aston Villa,,,0,206,0,0.00,525,455,102,162,524,0.0,0.0,516,0,0.0,133,Pau,206,0,0.0,0.0,0.0,0.0,1.5,0.0,,0,32,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,531,0,204,0,206,a,0,0.0,0,0,3.0,0.0,0.0,206,528,,261
599,Moussa Diaby,65,MID,Aston Villa,,,0,272,0,0.00,636,52,58,246,636,0.0,0.0,636,0,0.0,31,Diaby,272,0,0.0,0.0,0.0,0.0,1.8,0.0,,0,16,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,636,0,272,0,272,a,0,0.0,0,0,6.6,0.0,0.0,272,636,,598
618,Omari Kellyman,45,MID,Aston Villa,,,0,231,0,0.00,571,530,626,74,568,0.0,0.0,563,0,0.0,270,Kellyman,231,0,0.0,0.0,0.0,0.0,0.5,0.0,,0,260,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,573,0,230,0,232,a,0,0.0,0,0,0.0,0.0,0.0,231,572,,336
62,Jaidon Anthony,50,MID,Bournemouth,,3.0,2,91,0,1.10,186,279,393,163,146,0.12,0.08,120,193,78.1,179,Anthony,86,0,0.15,308.6,209.3,2.1,1.6,0.0,2.0,1241,128,26.14,,12.2,1.69,4,,0,263.0,3,1.9,61,29,2.79,265,1,77,11,107,a,2,0.2,0,0,0.2,0.8,2.0,97,158,,470
63,Philip Billing,55,MID,Bournemouth,,5.0,5,46,0,2.56,63,104,185,195,78,0.15,0.08,65,475,148.4,64,Billing,28,0,0.29,637.4,401.1,1.76,2.1,0.0,1.0,2766,62,49.46,,22.9,4.60,14,,0,445.0,7,1.61,126,54,7.16,97,2,47,34,41,a,9,0.23,0,0,0.9,1.11,3.5,62,62,,517
64,David Brooks,50,MID,Bournemouth,,,1,158,0,0.20,360,188,435,105,309,0.17,0.11,294,7,8.7,121,Brooks,162,0,0.0,17.6,28.8,2.12,1.6,0.0,,170,145,4.40,,1.0,0.33,0,,0,42.0,0,2.33,5,4,0.53,399,0,148,2,189,a,0,0.28,0,0,0.1,1.06,0.8,157,343,,379
65,Ryan Christie,50,MID,Bournemouth,Muscle injury - 75% chance of playing,,2,66,0,2.07,202,207,584,117,68,0.14,0.1,79,225,111.1,133,Christie,91,0,0.15,284.2,423.5,1.73,1.2,0.0,,1825,234,30.87,2023-08-06T23:30:05.398527Z,12.8,2.89,2,75.0,0,402.0,1,1.52,64,35,4.96,262,2,56,22,104,d,3,0.24,0,0,0.0,1.08,2.0,56,99,,398
66,Lewis Cook,50,MID,Bournemouth,,,4,96,0,2.30,183,205,568,115,93,0.01,0.12,290,280,71.2,131,L.Cook,84,0,0.16,313.0,352.5,2.05,1.6,0.0,,1712,222,32.09,,10.2,0.24,1,,0,45.0,0,1.69,51,39,2.54,286,2,146,18,121,a,3,0.13,0,0,0.0,0.95,1.8,70,183,,396
